Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,Year,Price/m2
Spain,Madrid,Fuencarral-El Pardo,087 Mirasierra,Mirasierra,,,,2002,3268.0
Spain,Madrid,Fuencarral-El Pardo,088 El Goloso,El Goloso,,,,2002,
Spain,Madrid,Moncloa-Aravaca,091 Casa de Campo,Casa de Campo,,,,2002,3100.0
Spain,Madrid,Moncloa-Aravaca,092 Argüelles,Argüelles,,,,2002,3640.0
Spain,Madrid,Moncloa-Aravaca,093 Ciudad Universitaria,Ciudad Universitaria,,,,2002,2687.0
Spain,Madrid,Moncloa-Aravaca,094 Valdezarza,Valdezarza,,,,2002,2808.0
Spain,Madrid,Moncloa-Aravaca,095 Valdemarín,Valdemarín,,,,2002,3524.0
Spain,Madrid,Moncloa-Aravaca,096 El Plantío,El Plantío,,,,2002,
Spain,Madrid,Moncloa-Aravaca,097 Aravaca,Aravaca,,,,2002,2320.0
Spain,Madrid,Latina,101 Los Cármenes,Los Cármenes,,,,2002,2332.0
Spain,Madrid,Latina,102 Puerta del Ángel,Puerta del Angel,,,,2002,2238.0
Spain,Madrid,Latina,103 Lucero,Lucero,,,,2002,2238.0
Spain,Madrid,Latina,104 Aluche,Aluche,,,,2002,2426.0
Spain,Madrid,Latina,105 Campamento,Campamento,,,,2002,2270.0
Spain,Madrid,Latina,106 Cuatro Vientos,Cuatro Vientos,,,,2002,
Spain,Madrid,Latina,107 Las Águilas,Las Águilas,,,,2002,2367.0
Spain,Madrid,Carabanchel,111 Comillas,Comillas,,,,2002,2405.0
Spain,Madrid,Carabanchel,112 Opañel,Opañel,,,,2002,2262.0
Spain,Madrid,Carabanchel,113 San Isidro,San Isidro,,,,2002,2067.0
Spain,Madrid,Carabanchel,114 Vista Alegre,Vista Alegre,,,,2002,2226.0
Spain,Madrid,Carabanchel,115 Puerta Bonita,Puerta Bonita,,,,2002,2106.0
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,,,,2002,2127.0
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,PAU de Carabanchel,40.364258,-3.761437,2002,
Spain,Madrid,Carabanchel,117 Abrantes,Abrantes,,,,2002,2150.0
Spain,Madrid,Usera,121 Orcasitas,Orcasitas,,,,2002,
Spain,Madrid,Usera,122 Orcasur,12 de Octubre-Orcasur,,,,2002,2257.0
Spain,Madrid,Usera,123 San Fermín,San Fermín,,,,2002,2162.0
Spain,Madrid,Usera,124 Almendrales,Almendrales,,,,2002,2176.0
Spain,Madrid,Usera,125 Moscardó,Moscardó,,,,2002,2159.0
Spain,Madrid,Usera,126 Zofío,Zofío,,,,2002,1819.0
Spain,Madrid,Usera,127 Pradolongo,Pradolongo,,,,2002,2221.0
Spain,Madrid,Puente de Vallecas,131 Entrevías,Entrevías,,,,2002,1770.0
Spain,Madrid,Puente de Vallecas,132 San Diego,San Diego,,,,2002,2146.0
