Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,Madrid,Moncloa-Aravaca,093 Ciudad Universitaria,Ciudad Universitaria,,,,2403,2687,3529,3881,4075,4543,4675,4391,4216,3866,3703,3254,3168,3045,3022,3055
Spain,Madrid,Moncloa-Aravaca,094 Valdezarza,Valdezarza,,,,2313,2808,3206,3307,3822,4071,4227,3655,3507,3253,2785,2477,2481,2166,2256,2367
Spain,Madrid,Moncloa-Aravaca,095 Valdemarín,Valdemarín,,,,3106,3524,3799,4177,4412,5056,5254,5154,5240,5165,4802,4098,4101,3865,3995,3951
Spain,Madrid,Moncloa-Aravaca,096 El Plantío,El Plantío,,,,1999,,2685,,,,,,,,,,,,,
Spain,Madrid,Moncloa-Aravaca,097 Aravaca,Aravaca,,,,2003,2320,2920,3540,4000,4427,4478,4104,3880,3928,3733,3361,3141,3191,3310,3365
Spain,Madrid,Latina,101 Los Cármenes,Los Cármenes,,,,1709,2332,2850,3028,3274,3665,3428,3012,2930,2711,2471,2193,2078,1656,1668,1884
Spain,Madrid,Latina,102 Puerta del Ángel,Puerta del Angel,,,,1713,2238,2681,3033,3363,3501,3336,3078,2792,2672,2350,1967,1870,1632,1721,1955
Spain,Madrid,Latina,103 Lucero,Lucero,,,,1801,2238,2631,2848,3257,3433,3343,3036,2705,2541,2246,2002,1850,1699,1665,1734
Spain,Madrid,Latina,104 Aluche,Aluche,,,,1610,2426,2585,2977,3125,3444,3303,2911,2608,2549,2270,1892,1897,1503,1581,1676
Spain,Madrid,Latina,105 Campamento,Campamento,,,,1615,2270,2806,3040,3112,3448,3299,2872,2644,2518,2190,1941,1933,1572,1638,1770
Spain,Madrid,Latina,106 Cuatro Vientos,Cuatro Vientos,,,,1710,,3118,,,,,,,,,,,,,
Spain,Madrid,Latina,107 Las Águilas,Las Águilas,,,,1788,2367,2750,2934,3068,3303,3291,2842,2584,2415,2173,1783,1749,1481,1555,1697
Spain,Madrid,Carabanchel,111 Comillas,Comillas,,,,1761,2405,2643,2851,3177,3429,3400,3050,2904,2687,2427,2046,1883,1676,1739,1805
Spain,Madrid,Carabanchel,112 Opañel,Opañel,,,,1626,2262,2749,2844,2954,3542,3379,2973,2695,2521,2249,1921,1804,1641,1659,1721
Spain,Madrid,Carabanchel,113 San Isidro,San Isidro,,,,1721,2067,2549,2869,3219,3502,3317,3037,2885,2493,2255,1949,1881,1566,1611,1665
Spain,Madrid,Carabanchel,114 Vista Alegre,Vista Alegre,,,,1812,2226,2675,2784,3219,3439,3278,2822,2553,2463,2187,1779,1719,1508,1481,1593
Spain,Madrid,Carabanchel,115 Puerta Bonita,Puerta Bonita,,,,1664,2106,2491,2771,3150,3263,3193,2793,2545,2359,2029,1681,1603,1420,1377,1510
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,,,,1606,2127,2728,2840,3339,3532,3368,3161,2612,2385,2043,1956,1741,1438,1359,1480
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,PAU de Carabanchel,40.364258,-3.761437,,,,,,,,,3420,3457,3160,2725,2879,2645,2576,2622
Spain,Madrid,Carabanchel,117 Abrantes,Abrantes,,,,1719,2150,2703,2858,3171,3243,3311,2910,2760,2439,2169,1718,1647,1359,1421,1466
Spain,Madrid,Usera,121 Orcasitas,Orcasitas,,,,1298,,2313,2466,2982,3225,3076,2701,2457,2204,1956,1674,1577,1518,1431,1415
Spain,Madrid,Usera,122 Orcasur,12 de Octubre-Orcasur,,,,1745,2257,2656,,,,3228,2802,2537,2273,2215,1792,1775,1536,1468,1421
Spain,Madrid,Usera,123 San Fermín,San Fermín,,,,1576,2162,2492,2617,2921,3102,3086,2817,2729,2593,2166,1904,1744,1568,1656,1459
Spain,Madrid,Usera,124 Almendrales,Almendrales,,,,1696,2176,2699,2791,3177,3381,3212,2962,2636,2572,2092,1875,1731,1452,1512,1642
Spain,Madrid,Usera,125 Moscardó,Moscardó,,,,1636,2159,2734,3007,3232,3338,3250,2919,2544,2402,2151,1901,1720,1512,1539,1692
Spain,Madrid,Usera,126 Zofío,Zofío,,,,1654,1819,2725,2781,3062,3411,3279,,2498,2262,1980,1722,1628,1398,1354,1380
Spain,Madrid,Usera,127 Pradolongo,Pradolongo,,,,1690,2221,2576,2883,3231,3630,3375,2837,2533,2388,1951,1707,1490,1303,1364,1449
Spain,Madrid,Puente de Vallecas,131 Entrevías,Entrevías,,,,1170,1770,2274,2597,2874,3194,3059,2494,2113,1870,1578,1388,1261,1061,1092,1118
Spain,Madrid,Puente de Vallecas,132 San Diego,San Diego,,,,1766,2146,2694,2941,3257,3387,3225,2752,2512,2361,1982,1700,1495,1339,1339,1370
Spain,Madrid,Puente de Vallecas,133 Palomeras Bajas,Palomeras Bajas,,,,1699,2100,2507,2778,3243,3560,3232,2804,2628,2329,2027,1759,1646,1416,1402,1469
